Ticker,Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
FSTA,FIDELITY COVINGTON TRUST MSCI CONSUMER STAPLES INDEX ETF,Equity,"$1,166,160,000",0.62%,"133,152",$44.82,0.72%,No,False,1.24%,-3.90%,4.16%,10.26%,10.90%,"$59,761,040.00",$0.00,"$20,369,505.00","$83,521,980.00","$348,333,535.00","$697,760,705.00",Consumer Staples Equities,2013-10-21,0.08%,Fidelity,$1.02,2023-03-17,$0.26,2.30%,23.70,0.60,106,60.85%,40%,20%,1099,$43.60,$46.75,$44.61,$44.93,45.07,N/A,A+,N/A,N/A,A,N/A,6.97,55.56%,70.52%,52.45,11.60%,7.28%
IYG,iShares U.S. Financial Services ETF,Equity,"$1,165,400,000",-0.45%,"66,078",$155.26,-0.08%,No,False,3.51%,4.88%,-3.62%,7.18%,4.58%,"-$200,638,510.25","-$7,769,320.00","-$22,653,341.60","-$413,671,631.55","-$586,687,961.55","-$666,224,636.55",Financials Equities,2000-06-12,0.39%,N/A,$3.27,2023-06-07,$0.64,2.14%,13.60,1.16,103,58.97%,40%,20%,1099,$144.71,$155.33,$154.08,$155.95,57.17,A-,B+,A,B,B-,A-,6.35,59.13%,47.70%,4.56,0.00%,0.45%
SECT,Main Sector Rotation ETF,Equity,"$1,155,550,000",8.92%,"81,291",$42.19,0.52%,No,False,1.37%,4.48%,6.30%,14.59%,9.21%,"$76,954,000.00","$10,466,500.00","$24,726,500.00","$116,344,000.00","$337,501,000.00","$553,646,500.00",Large Cap Blend Equities,2017-09-05,0.75%,N/A,$0.33,2023-03-23,$0.06,0.77%,0.04,0.94,14,92.86%,40%,20%,1099,$40.03,$42.37,$42.01,$42.29,64.09,B+,C+,B,C+,B-,N/A,6.42,17.76%,49.56%,102.01,2.32%,6.73%
AVLV,Avantis U.S. Large Cap Value ETF,Equity,"$1,145,580,000",3.70%,"144,334",$51.75,-0.02%,No,False,3.60%,2.78%,0.59%,N/A,N/A,"$358,255,296.00","$9,215,466.00","$41,244,808.00","$772,687,480.00","$1,112,618,068.00","$1,112,618,068.00",Large Cap Value Equities,2021-09-21,0.15%,N/A,$1.07,2023-03-23,$0.28,2.06%,0.09,0.99,227,21.95%,40%,20%,1099,$49.07,$51.58,$51.55,$51.90,57.73,A-,A,N/A,C,C,N/A,6.44,19.37%,50.17%,188.45,0.69%,2.59%
SDVY,First Trust SMID Cap Rising Dividend Achievers ETF,Equity,"$1,145,100,000",7.57%,"251,843",$27.88,-0.61%,No,False,7.77%,8.48%,5.84%,14.83%,7.06%,"$95,333,617.50","$12,353,995.50","$3,243,540.00","$186,898,750.00","$1,166,774,257.50","$1,173,066,225.00",Small Cap Blend Equities,2017-11-01,0.60%,N/A,$0.65,2023-03-24,$0.13,2.35%,8.87,1.18,99,12.28%,40%,20%,1099,$24.68,$27.63,N/A,N/A,61.29,B-,B-,A,C,A-,N/A,5.51,2.83%,30.84%,169.04,1.04%,5.77%
FDIS,Fidelity MSCI Consumer Discretionary Index ETF,Equity,"$1,143,740,000",23.01%,"67,208",$69.53,1.19%,No,False,4.81%,7.70%,6.13%,11.03%,11.14%,"$16,881,060.00",$0.00,"$3,253,000.00","-$49,018,400.00","$169,708,260.00","$231,318,620.00",Consumer Discretionary Equities,2013-10-21,0.08%,Fidelity,$0.60,2023-03-17,$0.17,0.87%,20.76,1.25,294,61.04%,40%,20%,1099,$63.40,$69.20,N/A,N/A,66.02,A-,A+,A-,B,B+,N/A,6.25,49.73%,45.32%,66.47,24.38%,1.55%
LABU,Direxion Daily S&P Biotech Bull 3x Shares,Equity,"$1,134,910,000",1.13%,"38,613,060",$7.15,0.14%,No,3x,11.37%,7.36%,3.77%,-46.76%,-40.80%,"-$160,387,300.00","-$54,743,150.00","-$31,242,750.00","$20,469,500.00","$1,966,637,504.95","$2,063,210,612.19",Leveraged Equities,2015-05-28,1.01%,N/A,$0.00,2019-12-23,$0.01,0.00%,0.00,3.00,145,28.68%,40%,20%,1099,$6.01,$7.32,N/A,N/A,58.11,A,B-,N/A,C,C,C+,4.92,5.88%,23.57%,34.85,0.00%,10.41%
XHB,SPDR S&P Homebuilders ETF,Equity,"$1,113,740,000",24.70%,"3,334,528",$75.01,-0.35%,No,False,7.40%,5.99%,22.50%,19.05%,14.18%,"$156,647,469.60","-$34,248,461.30","$51,598,562.75","-$146,469,154.20","-$164,512,790.35","-$250,742,462.20",Building & Construction ,2006-01-31,0.35%,N/A,$0.66,2023-03-20,$0.18,0.88%,12.20,1.32,36,42.19%,40%,20%,1099,$68.03,$74.63,N/A,N/A,63.66,A+,A+,A+,A-,A+,A,6.91,80.54%,67.71%,46.24,0.00%,12.74%
FXL,First Trust Technology AlphaDEX Fund,Equity,"$1,112,840,000",19.06%,"47,846",$108.92,0.33%,No,False,0.91%,11.36%,4.55%,11.13%,13.62%,"-$29,440,850.00","-$5,418,650.00","-$15,591,000.00","-$97,594,050.00","-$1,696,065,050.00","-$2,242,035,900.00",Technology Equities,2007-05-08,0.61%,N/A,$0.27,2023-03-24,$0.08,0.25%,19.23,1.19,101,19.10%,40%,20%,1099,$97.14,$112.12,N/A,N/A,63.45,B+,B-,B,A-,B-,A-,6.7,58.62%,60.00%,29.53,2.93%,4.18%
PFXF,VanEck Preferred Securities ex Financials ETF,Preferred Stock,"$1,098,090,000",5.87%,"330,683",$17.39,-0.11%,No,False,1.22%,2.28%,-5.02%,2.57%,3.42%,"$146,125,765.00","$12,992,045.00","$36,865,145.00","$184,212,065.00","$499,378,425.00","$725,058,216.40",Preferred Stock/Convertible Bonds,2012-07-16,0.40%,N/A,$0.98,2023-06-01,$0.14,5.66%,0.00,0.62,116,26.48%,40%,20%,1099,$16.66,$17.44,$17.31,$17.45,57.76,B+,A-,N/A,B,A,B+,5.68,10.28%,33.37%,817.68,19.57%,3.56%
PSQ,ProShares Short QQQ,Equity,"$1,096,060,000",-23.51%,"37,185,256",$11.18,-1.15%,Yes,-1x,-0.18%,-8.13%,-14.85%,-16.99%,-18.02%,"-$79,748,630.00","-$48,715,340.00","-$216,473,060.00","$178,066,785.00","$1,003,121,035.00","$1,414,231,135.00",Inverse Equities,2006-06-19,0.95%,N/A,$0.14,2023-03-22,$0.09,1.26%,0.00,-1.05,21,74.34%,40%,20%,1099,$10.87,$12.29,N/A,N/A,33.81,A-,C+,A,A,C,A,5.72,51.61%,34.48%,0.0,0.00%,0.00%
VTC,Vanguard Total Corporate Bond ETF,Bond,"$1,087,340,000",2.75%,"71,789",$75.12,0.51%,No,False,-0.54%,-1.00%,-0.76%,-3.34%,1.48%,"$220,204,700.00","$30,828,800.00","$30,079,600.00","$547,038,700.00","$766,435,700.00","$1,149,358,400.00",Corporate Bonds,2017-11-07,0.04%,N/A,$2.59,2023-06-01,$0.24,3.45%,0.00,0.27,4,99.99%,40%,20%,1099,$74.21,$75.95,$74.82,$75.28,48.37,B,A,B+,C+,A-,N/A,6.59,87.90%,55.16%,283.6,10.41%,3.62%
FTXL,First Trust Nasdaq Semiconductor ETF,Equity,"$1,086,080,000",27.24%,"372,426",$67.56,0.73%,No,False,0.88%,12.36%,9.79%,15.39%,14.99%,"$910,774,171.50","$6,569,400.00","$29,673,800.00","$916,141,503.00","$948,424,539.50","$940,196,476.00",Technology Equities,2016-09-20,0.60%,N/A,$0.50,2023-03-24,$0.09,0.74%,18.91,1.29,32,63.12%,40%,20%,1099,$57.95,$69.60,$66.99,$67.85,63.08,B-,B-,A,B-,B+,C,6.96,70.74%,70.14%,82.98,0.00%,4.11%
SPHY,SPDR Portfolio High Yield Bond ETF,Bond,"$1,082,100,000",4.66%,"698,020",$22.70,0.62%,No,False,0.80%,0.58%,2.54%,2.44%,N/A,"$248,572,409.20","$15,819,645.40","-$11,148,907.40","$429,781,361.10","$1,090,106,243.80","$1,123,187,725.00",High Yield Bonds,2012-06-18,0.10%,N/A,$1.57,2023-06-01,$0.14,6.99%,0.02,0.42,1907,3.76%,40%,20%,1099,$22.25,$22.69,N/A,N/A,57.63,A-,A+,N/A,C+,A,N/A,5.18,50.11%,26.58%,330.7,5.37%,2.83%
HTRB,Hartford Total Return Bond ETF,Bond,"$1,076,790,000",3.19%,"110,678",$33.62,0.63%,No,False,-0.31%,-1.12%,-0.58%,-3.01%,0.75%,"$113,748,375.00",$0.00,"$15,125,365.00","$108,974,220.00","$633,788,410.00","$1,246,789,375.00",Total Bond Market,2017-09-27,0.29%,N/A,$1.12,2023-05-26,$0.10,3.35%,0.00,0.19,1271,19.92%,40%,20%,1099,$33.17,$34.04,N/A,N/A,49.37,A-,B,N/A,B-,A-,N/A,0.0,N/A,N/A,N/A,N/A,N/A
HYGV,FlexShares High Yield Value-Scored US Bond Index Fund,Bond,"$1,070,290,000",4.41%,"176,700",$40.11,0.68%,No,False,0.83%,0.75%,1.41%,2.25%,N/A,"$91,269,440.00","-$7,976,380.00","$3,955,220.00","$269,406,830.00","$1,082,987,715.00","$1,208,528,345.01",High Yield Bonds,2018-07-17,0.47%,N/A,$3.38,2023-06-01,$0.30,8.48%,0.00,0.49,983,5.66%,40%,20%,1099,$39.23,$40.07,$39.92,$40.21,57.51,A-,B+,B+,C,A,N/A,5.05,29.61%,24.96%,314.67,4.70%,2.76%
DTD,WisdomTree U.S. Total Dividend Fund,Equity,"$1,068,080,000",1.56%,"42,266",$61.00,0.28%,No,False,3.16%,1.61%,0.33%,11.25%,8.51%,"-$33,552,530.00",$0.00,"-$2,925,655.00","$7,788,115.00","$126,289,905.00","$262,606,055.00",Large Cap Blend Equities,2006-06-16,0.28%,E*TRADE,$1.65,2023-05-24,$0.16,2.71%,14.32,0.91,823,22.49%,40%,20%,1099,$58.42,$60.79,$60.78,$61.14,57.53,B+,B+,A,B+,A-,A,6.65,34.91%,57.57%,230.76,8.64%,5.04%
IYJ,iShares U.S. Industrials ETF,Equity,"$1,066,250,000",5.67%,"58,638",$101.37,-0.21%,No,False,3.81%,2.65%,5.05%,9.17%,7.40%,"-$247,281,366.90","-$117,662,959.80","-$117,778,731.05","-$280,998,992.45","$41,822,357.55","-$293,915,072.45",Industrials Equities,2000-06-12,0.39%,N/A,$1.08,2023-06-07,$0.28,1.09%,20.45,1.12,183,35.46%,40%,20%,1099,$95.50,$101.26,N/A,N/A,58.13,B+,B+,B+,A,B,A,6.99,75.80%,71.20%,64.44,17.25%,2.34%
HYS,PIMCO 0-5 Year High Yield Corporate Bond Index ETF,Bond,"$1,065,300,000",4.23%,"270,826",$90.64,0.59%,No,False,0.74%,0.93%,4.13%,3.62%,2.79%,"-$278,948,000.00",$0.00,"-$9,011,000.00","-$742,576,000.00","-$196,929,000.00","-$509,148,000.00",High Yield Bonds,2011-06-16,0.55%,Charles Schwab,$5.32,2023-06-01,$0.52,5.89%,0.00,0.37,654,14.61%,40%,20%,1099,$88.83,$90.57,$90.28,$90.82,59.11,A-,C+,C,B+,B,A-,4.85,11.62%,22.40%,356.05,5.79%,1.06%
LDUR,PIMCO Enhanced Low Duration Active ETF,Bond,"$1,063,780,000",1.30%,"106,229",$94.07,-0.01%,No,False,-0.11%,-0.48%,-0.02%,-0.36%,1.21%,"-$308,847,000.00","-$7,532,800.00","-$60,548,200.00","-$327,120,000.00","$710,539,000.00","$1,016,612,200.00",Total Bond Market,2014-01-22,0.53%,N/A,$2.77,2023-06-01,$0.31,2.94%,0.00,0.04,494,32.91%,40%,20%,1099,$93.75,$94.60,$94.02,$94.17,49.11,A-,C+,B+,A-,B-,B-,6.06,22.22%,40.71%,188.85,4.99%,0.35%
PGF,Invesco Financial Preferred ETF,Preferred Stock,"$1,061,330,000",3.75%,"417,289",$14.59,-0.21%,No,False,0.97%,4.79%,-3.86%,-2.34%,0.44%,"-$65,432,600.00","-$8,065,750.00","-$24,179,000.00","-$157,663,100.00","-$86,223,000.00","-$134,426,700.00",Preferred Stock/Convertible Bonds,2006-12-01,0.55%,N/A,$0.86,2023-05-22,$0.07,5.86%,0.00,0.41,104,21.52%,40%,20%,1099,$13.73,$14.83,$14.54,$14.65,54.78,A-,B-,A-,C+,B+,B,5.79,31.27%,35.55%,5.26,0.00%,0.59%
FEX,First Trust Large Cap Core AlphaDEX Fund,Equity,"$1,058,630,000",1.82%,"63,258",$81.22,0.12%,No,False,3.58%,2.70%,-1.79%,10.15%,7.41%,"-$72,170,300.00","-$20,219,750.00","-$28,097,050.00","-$35,889,450.00","-$182,076,350.00","-$669,802,650.00",Large Cap Blend Equities,2007-05-08,0.59%,N/A,$1.36,2023-03-24,$0.30,1.68%,13.56,1.06,375,5.33%,40%,20%,1099,$77.01,$80.97,$80.94,$81.38,57.73,B+,B-,B,B-,C+,B+,6.65,40.49%,57.32%,259.11,7.03%,4.86%
XMMO,Invesco S&P MidCap Momentum ETF,Equity,"$1,052,220,000",3.18%,"64,632",$77.35,0.03%,No,False,5.41%,4.08%,-3.18%,8.81%,9.89%,"$11,751,250.00","-$2,315,970.00","-$15,620,360.00","$194,509,230.00","$286,425,820.00","$657,884,320.00",Mid Cap Growth Equities,2005-03-03,0.33%,N/A,$1.17,2023-03-20,$0.32,1.59%,10.85,1.01,77,25.23%,40%,20%,1099,$72.16,$76.71,$76.96,$77.65,60.95,A,B,A+,C+,B+,N/A,5.94,64.86%,38.32%,94.49,8.84%,7.40%
SDS,ProShares UltraShort S&P500,Equity,"$1,049,680,000",-19.04%,"6,870,956",$36.98,-1.12%,Yes,-2x,-3.17%,-6.69%,-14.10%,-26.16%,-26.87%,"$269,930,598.27","-$11,193,890.00","-$7,645,005.00","-$94,892,413.94","$358,587,188.07","$1,755,410,813.07",Inverse Equities,2006-07-11,0.90%,N/A,$0.43,2023-03-22,$0.27,1.16%,0.00,-1.81,19,79.98%,40%,20%,1099,$36.69,$40.79,$36.74,$37.39,38.39,A,A,A-,A-,A,B+,5.72,51.61%,34.48%,0.0,0.00%,0.00%
FREL,Fidelity MSCI Real Estate Index ETF,Real Estate,"$1,048,680,000",1.86%,"505,374",$24.94,-0.60%,No,False,3.92%,0.24%,-10.75%,3.07%,4.57%,"-$403,945,320.00","-$5,017,620.00","-$31,419,590.00","-$476,323,570.00","$120,760,015.00","$780,053,750.00",Real Estate,2015-02-02,0.08%,Fidelity,$0.96,2023-03-17,$0.33,3.83%,27.22,0.91,156,43.68%,40%,20%,1099,$23.46,$25.01,N/A,N/A,55.81,A,A,B-,C+,B+,A+,6.05,78.41%,40.57%,82.9,0.03%,13.68%
IHF,iShares U.S. Healthcare Providers ETF,Equity,"$1,046,870,000",-4.80%,"45,443",$254.21,0.76%,No,False,2.08%,0.15%,-1.28%,8.50%,9.23%,"-$340,125,311.90","-$25,314,489.90","-$61,815,475.80","-$444,269,521.70","-$105,877,836.70","$248,794,383.30",Health & Biotech Equities,2006-05-01,0.39%,N/A,$2.00,2023-06-07,$0.12,0.78%,19.86,0.81,66,73.23%,40%,20%,1099,$241.79,$256.05,$252.87,$255.01,54.01,A-,B+,B+,B+,B+,B,7.35,95.45%,84.03%,12.99,0.00%,0.38%
HNDL,Strategy Shares Nasdaq 7HANDL Index ETF,Multi-Asset,"$1,042,260,000",6.47%,"136,431",$20.25,0.25%,No,False,1.35%,1.22%,-2.26%,1.01%,2.60%,"-$102,836,750.00","-$4,534,500.00","-$17,009,500.00","-$263,157,612.50","$1,374,250,387.50","$1,390,800,687.50",Diversified Portfolio,2018-01-17,0.97%,N/A,$1.43,2023-05-11,$0.12,7.08%,0.03,0.57,20,77.19%,40%,20%,1099,$19.71,$20.25,$20.13,$20.32,58.92,A,C+,B-,B,A,N/A,6.28,39.19%,45.87%,408.42,7.68%,3.35%
PDP,Invesco DWA Momentum ETF,Equity,"$1,040,640,000",8.28%,"31,968",$76.80,0.39%,No,False,2.80%,2.94%,-0.96%,4.88%,6.50%,"-$74,788,480.00","$4,572,660.00","$23,495,270.00","-$167,411,070.00","-$655,960,520.00","-$935,995,420.00",Large Cap Growth Equities,2007-03-01,0.62%,Charles Schwab,$0.45,2023-03-20,$0.13,0.58%,15.11,1.02,101,25.01%,40%,20%,1099,$73.44,$76.77,N/A,N/A,57.44,B+,C+,B,B-,C,C+,6.45,19.79%,50.40%,101.5,5.60%,2.42%
LVHD,Franklin U.S. Low Volatility High Dividend Index ETF,Equity,"$1,040,110,000",-2.67%,"228,428",$36.70,-0.03%,No,False,3.85%,-1.02%,-2.98%,9.02%,7.93%,"$126,042,228.09","-$25,800,274.89","-$67,945,491.44","$483,709,605.69","$201,772,323.50","$336,826,165.87",Volatility Hedged Equity,2015-12-29,0.27%,N/A,$1.24,2023-05-04,$0.28,3.39%,16.32,0.76,125,24.80%,40%,20%,1099,$35.14,$36.78,N/A,N/A,54.58,A-,B+,B,A,A-,N/A,6.9,75.29%,67.53%,710.48,18.43%,8.51%
DSTL,Distillate US Fundamental Stability & Value ETF,Equity,"$1,037,090,000",7.57%,"75,129",$43.76,0.16%,No,False,2.71%,2.38%,5.15%,12.91%,N/A,"$82,272,042.50","-$2,159,210.00","$7,627,985.00","$250,948,910.00","$825,423,315.00","$932,233,117.50",Large Cap Growth Equities,2018-10-24,0.39%,N/A,$0.67,2023-03-22,$0.13,1.53%,0.04,0.98,102,22.09%,40%,20%,1099,$41.98,$43.74,$43.56,$43.88,57.73,B+,B,B+,A,B-,N/A,6.63,35.96%,56.41%,56.61,4.89%,5.39%
FNX,First Trust Mid Cap Core AlphaDEX Fund,Equity,"$1,030,770,000",6.74%,"34,058",$93.45,-0.32%,No,False,6.53%,5.88%,-0.15%,12.81%,7.27%,"$19,752,750.00",$0.00,"$4,428,000.00","$52,138,750.00","$166,438,400.00","$63,539,850.00",Mid Cap Blend Equities,2007-05-08,0.62%,N/A,$1.15,2023-03-24,$0.28,1.23%,9.97,1.20,451,4.98%,40%,20%,1099,$85.25,$92.69,N/A,N/A,61.09,B+,C+,A,B+,A-,B-,5.71,46.32%,33.89%,204.13,5.80%,5.64%
NULG,Nuveen ESG Large-Cap Growth ETF,Equity,"$1,029,710,000",21.07%,"71,985",$59.19,0.82%,No,False,1.11%,7.21%,13.51%,12.14%,14.14%,"$75,268,020.00","$5,861,070.00","$12,201,405.00","$119,051,910.00","$710,750,455.00","$849,592,550.00",Large Cap Growth Equities,2016-12-13,0.26%,N/A,$0.20,2022-12-15,$0.20,0.33%,33.94,1.12,113,38.12%,40%,20%,1099,$54.12,$60.25,$58.81,$59.40,64.80,B+,B+,A,C+,A,B,7.92,99.32%,95.85%,30.44,0.00%,11.14%
NUSC,Nuveen ESG Small-Cap ETF,Equity,"$1,025,730,000",7.40%,"88,923",$36.71,-0.51%,No,False,6.01%,5.79%,1.69%,11.51%,6.36%,"$55,534,025.00","$5,231,030.00","$13,427,935.00","$2,656,925.00","$738,815,400.00","$953,286,655.00",Small Cap Growth Equities,2016-12-13,0.31%,N/A,$0.40,2022-12-15,$0.40,1.08%,23.35,1.13,539,7.96%,40%,20%,1099,$33.65,$36.44,N/A,N/A,60.69,B+,C+,A-,A-,B-,N/A,6.75,98.12%,61.78%,49.75,1.34%,8.63%
ARKQ,ARK Autonomous Technology & Robotics ETF,Equity,"$1,019,480,000",30.41%,"92,635",$53.48,0.96%,No,False,6.17%,15.63%,-4.53%,5.10%,9.33%,"-$4,091,900.00","$20,495,200.00","$20,495,200.00","-$135,263,500.00","$1,233,403,000.00","$1,318,210,150.00",All Cap Equities,2014-09-30,0.75%,N/A,$0.00,2021-12-29,$0.61,0.00%,0.08,1.30,34,66.56%,40%,20%,1099,$44.89,$53.59,$52.85,$53.80,69.98,A,C+,A,C,B-,N/A,6.77,66.88%,62.52%,37.34,17.24%,3.83%
GTO,Invesco Total Return Bond ETF,Bond,"$991,976,000",1.86%,"184,725",$46.57,0.45%,No,False,-0.24%,-0.83%,-2.05%,-1.78%,2.27%,"$196,418,350.00","$6,999,750.00","$13,957,600.00","$178,521,100.00","$921,817,350.00","$1,132,011,050.00",Total Bond Market,2016-02-10,0.50%,N/A,$1.84,2023-05-22,$0.15,3.97%,0.00,0.22,731,35.04%,40%,20%,1099,$45.98,$46.96,N/A,N/A,49.26,A-,C+,N/A,B-,A+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
SUSC,iShares ESG Aware USD Corporate Bond ETF,Bond,"$980,130,000",2.79%,"416,943",$22.57,0.62%,No,False,-0.49%,-1.05%,-0.98%,-3.56%,1.42%,"$174,188,075.00","-$5,639,875.00","-$5,747,855.00","$113,210,780.00","$980,830,480.00","$1,158,058,825.00",Corporate Bonds,2017-07-11,0.18%,N/A,$0.77,2023-06-01,$0.07,3.42%,0.00,0.27,3763,4.47%,40%,20%,1099,$22.30,$22.82,N/A,N/A,48.52,B+,B-,A-,C+,B-,N/A,7.56,99.64%,89.33%,129.62,7.84%,5.13%
FTXG,First Trust Nasdaq Food & Beverage ETF,Equity,"$972,131,000",-1.91%,"176,145",$26.47,0.61%,No,False,0.34%,-5.19%,1.16%,11.56%,8.02%,"$39,655,451.50","$5,283,400.00","$10,643,700.00","$138,522,648.00","$583,354,839.00","$585,270,519.50",Consumer Staples Equities,2016-09-20,0.60%,N/A,$0.38,2023-03-24,$0.06,1.45%,18.67,0.60,31,60.04%,40%,20%,1099,$25.92,$27.75,$26.29,$26.59,42.19,N/A,B-,N/A,N/A,B,N/A,7.57,81.82%,89.59%,74.78,7.40%,14.70%
MUNI,PIMCO Intermediate Municipal Bond Active ETF,Bond,"$969,564,000",1.73%,"107,868",$51.62,0.06%,No,False,-0.02%,-0.63%,1.66%,-0.35%,1.78%,"-$27,280,400.00","$2,066,000.00","-$3,176,200.00","$180,119,000.00","$605,495,200.00","$745,990,200.00",National Munis,2009-11-30,0.35%,N/A,$1.39,2023-06-01,$0.14,2.68%,0.00,0.11,350,13.79%,40%,20%,1099,$51.06,$52.09,N/A,N/A,49.67,A-,C+,B+,B+,A-,C+,0.0,N/A,N/A,N/A,N/A,N/A
XMLV,Invesco S&P MidCap Low Volatility ETF,Equity,"$969,541,000",-1.93%,"72,566",$52.11,-0.40%,No,False,4.66%,0.77%,-1.56%,7.50%,4.27%,"-$161,809,100.00","-$8,704,970.00","-$31,859,900.00","-$198,145,710.00","-$1,765,590,200.00","-$287,353,500.00",Volatility Hedged Equity,2013-02-15,0.25%,N/A,$1.20,2023-03-20,$0.34,2.29%,17.77,0.80,81,14.37%,40%,20%,1099,$49.34,$51.95,N/A,N/A,55.23,A,B+,B,A-,B,C,5.73,47.57%,34.68%,375.6,4.01%,7.54%
IDU,iShares U.S. Utilities ETF,Equity,"$958,368,000",-3.81%,"52,420",$82.27,0.39%,No,False,3.36%,-2.94%,-5.85%,5.47%,8.77%,"-$5,461,447.75","-$13,397.75","-$3,857,294.25","$6,917,676.00","$74,903,456.00","$277,429,551.00",Utilities Equities,2000-06-12,0.39%,N/A,$2.10,2023-06-07,$0.42,2.59%,23.63,0.53,46,53.61%,40%,20%,1099,$78.26,$84.57,$81.72,$82.59,50.60,A,B+,B+,A-,B+,B+,6.93,34.25%,68.72%,2038.93,56.34%,7.98%
QUS,SPDR MSCI USA StrategicFactors ETF,Equity,"$953,107,000",8.84%,"33,405",$119.18,0.49%,No,False,1.64%,2.69%,5.18%,10.54%,10.55%,"-$17,242,920.04","-$5,864,155.40","-$21,019,611.85","$55,067,392.15","-$60,343,002.35","$567,887,144.05",Large Cap Growth Equities,2015-04-16,0.15%,N/A,$1.96,2023-06-01,$0.86,1.65%,17.05,0.92,629,20.85%,40%,20%,1099,$114.46,$119.31,$118.74,$119.45,61.10,B,A-,B+,A,A,A-,6.8,66.84%,63.85%,159.56,6.95%,7.11%
PKW,Invesco BuyBack Achievers™ ETF,Equity,"$950,396,000",1.55%,"33,620",$86.57,-0.17%,No,False,4.81%,2.64%,2.42%,13.31%,9.66%,"-$601,869,680.00","-$5,045,730.00","-$12,584,310.00","-$402,296,790.00","-$164,217,610.00","-$716,990,010.00",Large Cap Blend Equities,2006-12-20,0.64%,Charles Schwab,$1.12,2023-03-20,$0.30,1.29%,11.06,1.09,317,34.09%,40%,20%,1099,$81.98,$86.43,N/A,N/A,57.05,B+,B-,C+,C+,B-,B+,6.42,18.26%,49.71%,122.87,2.48%,4.78%
KSA,iShares MSCI Saudi Arabia ETF,Equity,"$944,211,000",10.63%,"511,218",$41.24,0.17%,No,False,3.01%,1.86%,-6.25%,16.92%,8.01%,"-$9,280,680.00","$6,223,830.00","$6,223,830.00","-$247,433,755.00","$101,909,025.00","$571,983,000.00",Emerging Markets Equities,2015-09-16,0.74%,N/A,$0.89,2023-06-07,$0.49,2.16%,14.50,0.56,113,57.26%,40%,20%,1099,$39.69,$41.38,$41.12,$41.32,61.48,A,C,N/A,A,B-,B-,3.69,0.30%,5.10%,817.55,0.00%,3.19%
MLPX,Global X MLP & Energy Infrastructure ETF,Equity,"$943,677,000",3.78%,"98,123",$41.13,0.12%,No,False,4.76%,4.10%,-3.71%,19.89%,8.09%,"-$116,862,086.02","-$810,438.82","-$14,578,183.31","-$21,720,549.32","$75,750,461.47","$428,166,052.74",MLPs,2013-08-07,0.45%,2 Platforms,$2.23,2023-05-05,$0.58,5.43%,11.58,1.30,28,65.54%,40%,20%,1099,$38.01,$40.81,$40.79,$41.33,62.44,N/A,A+,N/A,N/A,B,N/A,6.5,50.69%,51.96%,912.68,9.22%,0.00%
EWQ,iShares MSCI France ETF,Equity,"$936,794,000",14.34%,"905,000",$37.05,1.34%,No,False,1.42%,-3.88%,15.17%,12.48%,6.15%,"-$105,385,440.00","-$29,612,440.00","-$29,612,440.00","$81,295,060.00","$28,264,560.00","-$70,611,340.00",Europe Equities,1996-03-12,0.53%,TD Ameritrade,$0.94,2023-06-07,$0.82,2.51%,15.79,1.03,64,56.32%,40%,20%,1099,$35.97,$38.57,$36.90,$37.13,47.72,A,B,B+,B-,B-,B,7.75,30.75%,92.90%,138.96,25.07%,4.44%
IWC,iShares Micro-Cap ETF,Equity,"$936,672,000",3.73%,"45,209",$111.28,-0.02%,No,False,7.23%,9.24%,-3.71%,8.92%,2.03%,"$14,941,492.05",$0.00,"-$4,843,772.80","-$1,012,308.90","$40,239,536.10","-$78,402,023.90",Small Cap Blend Equities,2005-08-12,0.60%,Fidelity,$1.41,2023-06-07,$0.27,1.32%,8.57,1.12,1698,6.33%,40%,20%,1099,$99.19,$110.41,$110.57,$111.75,64.41,B+,B-,C,B-,B-,A-,0.0,N/A,N/A,N/A,N/A,N/A
ZROZ,PIMCO 25+ Year Zero Coupon US Treasury Index ETF,Bond,"$936,079,000",3.75%,"234,277",$89.91,1.46%,No,False,-1.28%,-2.76%,-13.93%,-16.00%,-2.20%,"$181,593,000.00","$4,259,000.00","$38,972,000.00","$624,019,000.00","$875,314,500.00","$958,113,000.00",Government Bonds,2009-10-30,0.15%,Charles Schwab,$2.59,2023-04-03,$0.73,2.92%,0.00,0.07,24,54.19%,40%,20%,1099,$86.54,$92.17,$88.82,$90.50,48.03,B,C+,A+,C,A,C,5.72,80.14%,34.48%,0.0,0.00%,0.00%
